Nr,Kod stacji,Kod międzynarodowy,Nazwa stacji,"Stary Kod stacji (o ile inny od aktualnego)",Data uruchomienia,Data zamknięcia,Typ stacji,Typ obszaru,Rodzaj stacji,Województwo,Miejscowość,Adres,WGS84 φ N,WGS84 λ E
560,MzOstrolTargowa,PL0131A,Ostrołęka-Targowa,,1994-01-03,2014-12-31,tło,miejski,wolnostojący pobornik pyłu,MAZOWIECKIE,Ostrołęka,ul. Targowa 4,53.084023,21.589205
561,MzOtwoBrzozo,PL0539A,"Otwock, ul. Brzozowa",MzOtwockBrzoz,2010-05-11,,tło,podmiejski,kontenerowa stacjonarna,MAZOWIECKIE,Otwock,ul. Brzozowa 2,52.115725,21.237297
562,MzOtwockBrzozWSSE,PL0132A,Otwock-BrzozowaWSSE,,1980-01-02,2009-12-31,tło,miejski,w budynku,MAZOWIECKIE,Otwock,ul. Brzozowa 2,52.115444,21.237658
563,MzPiaseczDworWSSE,PL0133A,Piaseczno-Dworska,,1981-10-01,2009-12-31,tło,miejski,w budynku,MAZOWIECKIE,Piaseczno,ul. Dworska,52.051445,21.005582
564,MzPiasPulask,PL0134A,"Piastów, ul. Pułaskiego",MzPiastowPulask,2003-08-01,,tło,podmiejski,kontenerowa stacjonarna,MAZOWIECKIE,Piastów,ul. Pułaskiego 6/8,52.191728,20.837489
565,MzPiastWarszWSSE,,Piastów-Warszawska,,1994-01-04,2003-12-31,przemysłowa,miejski,w budynku,MAZOWIECKIE,Piastów,ul. Warszawska 24,52.186581,20.843524
566,MzPionkiSienWSSE,,Pionki-Sienkiewicza,,1995-01-09,2003-12-31,tło,miejski,w budynku,MAZOWIECKIE,Pionki,ul. Sienkiewicza 11,51.478028,21.451383
567,MzPlockJasnaWSSE,,Płock-Jasna,,1986-04-14,2006-12-31,tło,miejski,w budynku,MAZOWIECKIE,Płock,ul. Jasna 8,52.554005,19.667701
568,MzPlockKolegWSSE,PL0135A,Płock-Kolegialna,,2004-02-27,2009-12-31,tło,miejski,w budynku,MAZOWIECKIE,Płock,ul. Kolegialna 20,52.542222,19.695556
569,MzPlockKolodWSSE,,Płock-Piasta Kołodzieja,,1990-01-02,2003-12-31,tło,miejski,w budynku,MAZOWIECKIE,Płock,ul. Piasta Kołodzieja 4,52.550865,19.690580
570,MzPlockLaczWSSE,,Płock-Łączniczek,,1991-01-10,2003-12-31,tło,miejski,w budynku,MAZOWIECKIE,Płock,ul. Łączniczek 14,52.539936,19.751334
571,MzPlockOpsis,,Płock-Opsis,,1995-02-27,2006-12-31,komunikacyjna,miejski,w budynku,MAZOWIECKIE,Płock,ul. Jachowicza 44,52.549779,19.691923
572,MzPlockPiaskaWSSE,,Płock-Piaska,,1987-01-05,2006-12-31,tło,miejski,w budynku,MAZOWIECKIE,Płock,ul. Piaska 5,52.544338,19.724452
573,MzPlockPKN1,PL0396A,Płock-Trzepowo,,1996-12-01,2009-12-31,przemysłowa,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Trzepowo,ul. Trzepowo 56,52.588800,19.724289
574,MzPlockPKN2,PL0397A,Płock-Maszewo,,1994-10-01,2009-12-31,tło,pozamiejski,kontenerowa stacjonarna,MAZOWIECKIE,Maszewo Duże,ul. Maszewo Duże 154,52.584167,19.611400
575,MzPlockPKN3,,Płock-Chełpowo,,1993-01-01,2005-12-31,przemysłowa,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Chełpowo,ul. Długa,52.567500,19.687500
576,MzPlocKroJad,PL0398A,"Płock, ul. Królowej Jadwigi",MzPlockPKN,1993-01-01,,przemysłowa,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Płock,ul. Królowej Jadwigi 4,52.556279,19.687672
577,MzPlocMiReja,PL0136A,"Płock, ul. Reja",MzPlockReja,2003-08-01,,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Płock,ul. Mikołaja Reja 28,52.550938,19.709791
578,MzPlonskSienWSSE,,Płońsk-Sienkiewicza,,1987-01-01,2003-12-31,tło,miejski,w budynku,MAZOWIECKIE,Płońsk,ul. Sienkiewicza 7a,52.629778,20.375560
579,MzPruszKraszeWSSE,PL0399A,Pruszków-Kraszewskiego,,2004-01-01,2009-12-31,tło,miejski,w budynku,MAZOWIECKIE,Pruszków,ul. Kraszewskiego 14,52.162262,20.812831
580,MzPruszMajWSSE,,Pruszków-Majowa,,1980-10-01,2003-12-31,tło,miejski,w budynku,MAZOWIECKIE,Pruszków,ul. Majowa 14,52.171540,20.810253
581,MzPultuskMicMOB,PL0822A,"Pułtusk, ul. Mickiewicza",,2023-01-09,,tło,miejski,mobilna,MAZOWIECKIE,Pułtusk,ul. Mickiewicza 36,52.703591,21.072603
582,MzPultusKoscWSSE,,Pułtusk-Kościuszki,,1987-01-01,2003-12-31,tło,miejski,w budynku,MAZOWIECKIE,Pułtusk,ul. Kościuszki 16,52.709643,21.083912
583,MzPultusMajaWSSE,,Pułtusk-Maja,,2004-01-01,2006-12-31,tło,miejski,w budynku,MAZOWIECKIE,Pułtusk,ul. 3 Maja 20,52.707685,21.084498
584,MzRad25Czerw,PL0137A,"Radom, ul. 25 Czerwca",MzRadomCz,2010-07-01,,tło,miejski,wolnostojący pobornik pyłu,MAZOWIECKIE,Radom,ul. 25 Czerwca 1976 70,51.406080,21.166819
585,MzRadHallera,PL0493A,"Radom, ul. Hallera",MzRadomHallera,2010-06-23,,tło,miejski,wolnostojący pobornik pyłu,MAZOWIECKIE,Radom,ul. Hallera,51.415324,21.171285
586,MzRadomAlekWSSE,,Radom-Józefów,,1987-11-06,2006-12-31,tło,miejski,w budynku,MAZOWIECKIE,Radom,ul. Aleksandrowicza 5,51.437739,21.161865
587,MzRadomCzWSSE,,Radom-CzerwcaWSSE,,2004-01-01,2009-12-31,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Radom,ul. 25 Czerwca,51.400128,21.162633
588,MzRadomLubonWSSE,,Radom-Lubońskiego,,1992-01-22,2003-12-31,tło,miejski,w budynku,MAZOWIECKIE,Radom,ul. Lubońskiego 2,51.390409,21.170235
589,MzRadomPulask,,Radom-Pułaskiego,,1996-04-22,2006-12-31,tło,miejski,w budynku,MAZOWIECKIE,Radom,ul. Pułaskiego 9,51.425210,21.158278
590,MzRadTochter,PL0138A,"Radom, ul. Tochtermana",MzRadomTochter,2003-08-01,,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Radom,ul. Tochtermana 1,51.399084,21.147474
591,MzSiedChrobWSSE,,Siedlce-Chrobrego,,1994-01-01,2003-12-31,tło,miejski,w budynku,MAZOWIECKIE,Siedlce,ul. Chrobrego 19,52.183080,22.275010
592,MzSiedKonars,PL0538A,"Siedlce, ul. Konarskiego",MzSiedlceKonar,2012-01-01,2024-06-06,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Siedlce,ul. Konarskiego 11,52.172145,22.282001
593,MzSiedPodlasWSSE,,Siedlce-Podlaska,,1990-01-01,2004-12-31,tło,miejski,w budynku,MAZOWIECKIE,Siedlce,ul. Podlaska 8,52.160795,22.255203
594,MzSiedPoniatWSSE,,Siedlce-Poniatowskiego,,2008-01-01,2009-12-31,tło,miejski,w budynku,MAZOWIECKIE,Siedlce,ul. Poniatowskiego 31,52.176298,22.288741
595,MzSiedSienkWSSE,,Siedlce-Sienkiewicza,,1994-01-03,2004-12-31,tło,miejski,w budynku,MAZOWIECKIE,Siedlce,ul. Sienkiewicza 32,52.165962,22.278046
596,MzSiedStarowWSSE,,Siedlce-Starowiejska,,1998-01-01,2003-12-31,tło,miejski,w budynku,MAZOWIECKIE,Siedlce,ul. Starowiejska 66,52.166475,22.292956
597,MzSiedWoszczWSSE,,Siedlce-Woszczerowicza,,2005-01-01,2007-12-31,tło,miejski,w budynku,MAZOWIECKIE,Siedlce,ul. Woszczerowicza 9,52.164444,22.279722
598,MzSierpcPiastWSSE,,Sierpc-Piastowska,,1987-02-03,2006-12-31,tło,miejski,w budynku,MAZOWIECKIE,Sierpc,ul. Piastowska 24,52.853175,19.666716
599,MzSierWiosnyMOB,PL0785A,"Sierpc, ul. Wiosny Ludów",MzSierWiosny,2021-01-09,2022-12-31,tło,miejski,mobilna,MAZOWIECKIE,Sierpc,ul. Wiosny Ludów 7,52.851783,19.662061
600,MzSochPlocWSSE,PL0400A,Sochaczew-Płocka,,2004-01-01,2009-12-31,tło,miejski,w budynku,MAZOWIECKIE,Sochaczew,ul. Płocka,52.231793,20.219171
601,MzSochSierpWSSE,,Sochaczew-Sierpnia,,2004-01-01,2005-12-31,tło,miejski,w budynku,MAZOWIECKIE,Sochaczew,ul. 15 Sierpnia 4,52.221772,20.234649
602,MzSokPodSierpWSSE,,Sokołów Podlaski-Sierpnia,,1994-01-01,2003-12-31,tło,miejski,w budynku,MAZOWIECKIE,Sokołów Podlaski,ul. 1 Sierpnia 1d,52.405721,22.234814
603,MzTluszczJKiel,PL0139A,Tłuszcz-Kielaka,,2003-08-01,2010-12-31,tło,podmiejski,kontenerowa stacjonarna,MAZOWIECKIE,Tłuszcz,ul. Jana Kielaka 1,52.425833,21.429167
604,MzWarAKrzywo,PL0214A,"Warszawa, ul. Krzywoń",MzWarszAKrzywon,2011-01-01,,tło,miejski,wolnostojący pobornik pyłu,MAZOWIECKIE,Warszawa,ul. Anieli Krzywoń,52.228649,20.917513
605,MzWarAKrzywWSSE,,Warszawa-Anieli KrzywońWSSE,,2004-01-01,2009-12-31,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Anieli Krzywoń,52.228649,20.917513
606,MzWarAlNiepo,PL0140A,"Warszawa, al. Niepodległości",MzWarNiepodKom,2003-08-01,,komunikacyjna,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,al. Niepodległości 227/233,52.219298,21.004724
607,MzWarBajkowa,PL0717A,"Warszawa, ul. Bajkowa",,2019-01-01,,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Bajkowa 17/21,52.188474,21.176233
608,MzWarChrosci,PL0739A,"Warszawa, ul. Chrościckiego",,2019-01-01,,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Chrościckiego 16/18,52.207742,20.906073
609,MzWarKondrat,PL0143A,"Warszawa, ul. Kondratowicza",MzWarTarKondra,2003-08-01,,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Kondratowicza 8,52.290864,21.042458
610,MzWarMarszal,PL0592A,Warszawa-Marszałkowska,MzWarszMarsz,2013-01-01,2017-12-31,komunikacyjna,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Marszałkowska 68,52.225157,21.014803
611,MzWarMeteo,PL0787A,"Warszawa, IMiGW",,2021-01-01,,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Podleśna 61,52.281304,20.963383
612,MzWarPodlesn,PL0044A,Warszawa-Podleśna,MzWarPodIMGW,2003-09-30,2020-12-31,tło,miejski,w budynku,MAZOWIECKIE,Warszawa,ul. Podleśna 61,52.280939,20.962156
613,MzWarPorajow,PL0034A,Warszawa-Porajów,MzWarszPorajow,1991-01-01,2016-01-04,przemysłowa,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Porajów 3,52.314516,20.958614
614,MzWarPuszSol,PL0033A,Warszawa-Puszczy Solskiej,MzWarszPuszSolska,1998-08-22,2016-01-04,przemysłowa,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Puszczy Solskiej 5,52.226408,20.908633
615,MzWarszAlJerozol,,Warszawa-Aleje Jerozolimskie,,1993-01-01,2004-12-31,tło,miejski,w budynku,MAZOWIECKIE,Warszawa,al. Jerozolimskie 30,52.231631,21.018900
616,MzWarszArmLudWSSE,,Warszawa-Armii Ludowej,,1989-10-01,2003-12-31,komunikacyjna,miejski,w budynku,MAZOWIECKIE,Warszawa,ul. Armii Ludowej 16,52.217723,21.011722
617,MzWarszBednarWSSE,,Warszawa-Bednarska,,1976-09-01,2006-12-31,komunikacyjna,miejski,w budynku,MAZOWIECKIE,Warszawa,ul. Bednarska 2/4,52.245977,21.020429
618,MzWarszBernWoda,PL0215A,Warszawa-Bernardyńska,,1996-04-26,2013-12-31,przemysłowa,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Przy Bernardyńskiej Wodzie 7,52.191733,21.051053
619,MzWarszBialobWSSE,,Warszawa-Białobrzeska,,1994-01-01,2006-12-31,tło,miejski,w budynku,MAZOWIECKIE,Warszawa,ul. Białobrzeska 26,52.213226,20.973755
620,MzWarszBorKomWSSE,PL0309A,Warszawa-Bora Komorowskiego,,1995-03-14,2008-12-31,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Bora Komorowskiego 31,52.225194,21.087355
621,MzWarszHertzaWSSE,,Warszawa-Hertza,,1980-01-02,2003-12-31,tło,miejski,w budynku,MAZOWIECKIE,Warszawa,ul. Hertza 8,52.224538,21.152749
622,MzWarszKochanWSSE,,Warszawa-Kochanowskiego,,1980-01-02,2003-12-31,tło,miejski,w budynku,MAZOWIECKIE,Warszawa,ul. Kochanowskiego 21,52.267161,20.949530
623,MzWarszKrucza,PL0010A,Warszawa-Krucza,,1990-01-01,2013-12-31,tło,miejski,w budynku,MAZOWIECKIE,Warszawa,ul. Krucza 5/11,52.224583,21.019039
624,MzWarszLazurowa,,Warszawa - Lazurowa,,1991-11-01,2008-12-31,przemysłowa,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Lazurowa,52.220278,20.897500
625,MzWarszOskLanWSSE,,Warszawa-Oskara Lange,,1996-01-01,2003-12-31,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Oskara Lange,52.181540,21.008873
626,MzWarszSGGW,PL0274A,Warszawa-Nowoursynowska,,2001-02-01,2012-12-31,tło,miejski,w budynku,MAZOWIECKIE,Warszawa,ul. Nowoursynowska 166,52.160556,21.047778
627,MzWarszSuwalWSSE,,Warszawa-Suwalska,,1995-04-03,2003-12-31,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Suwalska 14,52.295469,21.029065
628,MzWarszZelazWSSE,PL0142A,Warszawa-Żelazna,,1976-09-01,2009-12-31,tło,miejski,w budynku,MAZOWIECKIE,Warszawa,ul. Żelazna 79,52.237499,20.987930
629,MzWarTolstoj,PL0308A,"Warszawa, ul. Tołstoja",MzWarszBielany,2000-05-15,,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Tołstoja 2,52.285073,20.933018
630,MzWarWokalna,PL0141A,"Warszawa, ul. Wokalna",MzWarszUrsynow,2003-08-01,,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Wokalna 1,52.160772,21.033819
631,MzWarZeganWSSE,PL0216A,Warszawa-Żegańska,,2004-01-01,2009-12-31,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Warszawa,ul. Żegańska,52.205769,21.169522
632,MzWolOgrodowa,PL0404A,Wołomin-Ogrodowa,,2010-09-20,2013-04-23,tło,miejski,w budynku,MAZOWIECKIE,Wołomin,ul. Ogrodowa 4,52.344675,21.239511
633,MzWolomLegionWSSE,,Wołomin-Legionów,,2000-01-03,2006-12-31,tło,miejski,w budynku,MAZOWIECKIE,Wołomin,ul. Legionów 78,52.338759,21.241824
634,MzWyszDaszynWSSE,,Wyszków-Daszyńskiego,,1982-01-01,2006-12-31,tło,miejski,w budynku,MAZOWIECKIE,Wyszków,ul. Daszyńskiego 28,52.593993,21.458079
635,MzZwolenWSSE,,Zwoleń-Kościuszki,,2004-01-01,2006-12-31,tło,miejski,w budynku,MAZOWIECKIE,Zwoleń,ul. Kościuszki 11,51.355810,21.578566
636,MzZyrardMoniuszWSSE,,Żyrardów-Moniuszki,,1988-05-30,2006-12-31,tło,miejski,w budynku,MAZOWIECKIE,Żyrardów,ul. Moniuszki 40,52.057147,20.450546
637,MzZyraRoosev,PL0144A,"Żyrardów, ul. Roosevelta",MzZyrardRoosevel,2003-08-01,,tło,miejski,kontenerowa stacjonarna,MAZOWIECKIE,Żyrardów,ul. Roosevelta 2,52.053811,20.429892
638,OpBrzeg101,PL0405A,Brzeg manualna 101,,1978-12-13,2009-12-31,tło,miejski,w budynku,OPOLSKIE,Brzeg,ul. Armii Krajowej 22,50.857500,17.463611
639,OpBrzegPoprz,PL0788A,"Brzeg, ul. Poprzeczna",,2021-01-11,,tło,miejski,kontenerowa stacjonarna,OPOLSKIE,Brzeg,ul. Poprzeczna 1,50.849509,17.462579
640,OpGlubKochan,PL0217A,Głubczyce manualna 1,OpGlub1pyl,2005-01-01,2016-01-01,tło,miejski,wolnostojący pobornik pyłu,OPOLSKIE,Głubczyce,ul. Kochanowskiego 23,50.200942,17.816453
641,OpGlubRatusz,PL0650A,"Głubczyce, ul. Ratuszowa",,2016-01-01,,tło,miejski,kontenerowa stacjonarna,OPOLSKIE,Głubczyce,ul. Ratuszowa 9,50.200778,17.83051
642,OpGora12728,,Góra Św. Anny lokalna 12728,,1991-12-31,2006-06-30,BRAK DANYCH,pozamiejski,kontenerowa stacjonarna,OPOLSKIE,Góra Św. Anny,ul. Leśnicka,50.451667,18.163333
643,OpJanusz12394,,Januszkowice lokalna 12394,,1990-11-27,2006-06-30,BRAK DANYCH,pozamiejski,kontenerowa stacjonarna,OPOLSKIE,Januszkowice,ul. Piękna,50.395833,18.138333
644,OpKKozBSmial,PL0218A,"Kędzierzyn-Koźle, ul. Śmiałego",OpKkozle1a,2005-01-01,,tło,miejski,kontenerowa stacjonarna,OPOLSKIE,Kędzierzyn-Koźle,ul. Bolesława Śmiałego 5,50.349608,18.236575
645,OpKkozle243,,K-Koźle manualna 243,,2001-10-10,2004-12-31,tło,miejski,w budynku,OPOLSKIE,Kędzierzyn-Koźle,ul. Chrobrego 28,50.338333,18.134167
646,OpKkozle61,,K-Koźle manualna 61,,1980-01-10,2005-12-31,tło,miejski,w budynku,OPOLSKIE,Kędzierzyn-Koźle,ul. Anny 14,50.334444,18.147222
647,OpKkozleSP10,,K-Koźle BASKI-SP10,,2004-01-01,2004-12-31,przemysłowa,miejski,kontenerowa stacjonarna,OPOLSKIE,Kędzierzyn-Koźle,ul. Książąt Opolskich,50.369444,18.327778
648,OpKkozleSP3,,K-Koźle BASKI-SP3,,2004-01-01,2004-12-31,przemysłowa,miejski,kontenerowa stacjonarna,OPOLSKIE,Kędzierzyn-Koźle,ul. Przodowników Pracy,50.323611,18.251389
649,OpKkozleSP7,,K-Koźle BASKI-SP7,,2004-01-01,2004-12-31,tło,miejski,kontenerowa stacjonarna,OPOLSKIE,Kędzierzyn-Koźle,ul. Gagarina,50.344444,18.227778
650,OpKlucz227,PL0145A,Kluczbork manualna 227,,2004-01-01,2009-12-31,tło,miejski,w budynku,OPOLSKIE,Kluczbork,ul. Rynek_ratusz,50.973056,18.214167
651,OpKlucz235,PL0406A,Kluczbork manualna 235,,2002-07-15,2009-12-31,tło,miejski,w budynku,OPOLSKIE,Kluczbork,ul. Jagiellońska 3,50.974444,18.217508
652,OpKluczMicki,PL0517A,"Kluczbork, ul. Mickiewicza",OpKlucz2pyl,2010-08-06,,tło,miejski,wolnostojący pobornik pyłu,OPOLSKIE,Kluczbork,ul. Mickiewicza 10,50.972181,18.207575
653,OpKrap3Maja,PL0810A,"Krapkowice, ul. 3 Maja",,2022-01-03,2023-12-31,tło,miejski,mobilna,OPOLSKIE,Krapkowice,ul. 3 Maja 17,50.486194,17.974770
654,OpKrap3Maja,PL0810A,"Krapkowice, ul. 3 Maja",OpKrap3MajaMOB,2022-01-03,2023-12-31,tło,miejski,mobilna,OPOLSKIE,Krapkowice,ul. 3 Maja 17,50.486194,17.974770
655,OpNamys2pyl,PL0219A,Namysłów manualna 2,,2005-01-01,2010-08-05,tło,miejski,BRAK DANYCH,OPOLSKIE,Namysłów,ul. Mariańska 2,51.072222,17.718889
656,OpNysa237,,Nysa manualna 237,,2001-01-01,2009-12-31,tło,miejski,w budynku,OPOLSKIE,Nysa,ul. Tkacka 2,50.473611,17.333556
657,OpNysaRodzie,PL0593A,"Nysa, ul. Rodziewiczówny",OpNysa3pyl,2013-10-28,,tło,miejski,kontenerowa stacjonarna,OPOLSKIE,Nysa,ul. Rodziewiczówny 1,50.458989,17.331906
658,OpOlesno3pyl,PL0220A,Olesno manualna 3,,2005-01-01,2011-04-01,tło,miejski,BRAK DANYCH,OPOLSKIE,Olesno,ul. Solny Rynek 1,50.876389,18.418611
659,OpOlesSlowac,PL0553A,"Olesno, ul. Słowackiego",OpOlesno4a,2011-11-01,,tło,miejski,kontenerowa stacjonarna,OPOLSKIE,Olesno,ul. Słowackiego,50.876983,18.416878
660,OpOpole244,,Opole manualna 244,,2002-01-12,2003-12-31,tło,miejski,w budynku,OPOLSKIE,Opole,ul. Sosnkowskiego 40-42,50.682222,17.946111
661,OpOpole246,PL0146A,Opole manualna 246,,2004-01-01,2009-12-31,tło,miejski,BRAK DANYCH,OPOLSKIE,Opole,ul. Oleska 64,50.675278,17.937222
662,OpOpole45,,Opole manualna 45,,2003-02-10,2006-12-31,tło,miejski,w budynku,OPOLSKIE,Opole,ul. Mickiewicza 1,50.666111,17.937778
663,OpOpole45p,,Opole manualna 45p,,2002-01-01,2004-12-31,tło,miejski,w budynku,OPOLSKIE,Opole,ul. Mickiewicza 1,50.666111,17.937778
664,OpOpoleKoszy,PL0674A,"Opole, ul. Koszyka",,2017-01-01,,tło,miejski,kontenerowa stacjonarna,OPOLSKIE,Opole,ul. Koszyka 21,50.666736,17.899137
665,OpOpoleMinor,PL0221A,Opole automat 3,OpOpole3a,2005-01-01,2016-12-31,tło,miejski,kontenerowa stacjonarna,OPOLSKIE,Opole,ul. Minorytów,50.666961,17.922797
666,OpOpoleOsAKr,PL0494A,"Opole, os. Armii Krajowej",OpOpole4pyl,2010-01-01,,tło,miejski,wolnostojący pobornik pyłu,OPOLSKIE,Opole,os. Armii Krajowej,50.676856,17.950278
667,OpPrud189,PL0407A,Prudnik manualna 189,,1991-03-15,2009-12-31,tło,miejski,w budynku,OPOLSKIE,Prudnik,ul. Klasztorna 4,50.321111,17.577500
668,OpPrud189p,,Prudnik manualna 189p,,2001-06-01,2007-12-31,tło,miejski,w budynku,OPOLSKIE,Prudnik,ul. Klasztorna 4,50.321111,17.577778
669,OpPrudPodgor,PL0719A,Prudnik mobilna,,2019-01-01,2020-12-31,tło,miejski,mobilna,OPOLSKIE,Prudnik,ul. Podgórna 5,50.320858,17.591909
670,OpSkozleSP5,,K-Koźle BASKI-SP5,,2004-01-01,2004-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,OPOLSKIE,Stare Koźle,ul. Szkolna,50.306944,18.219444
671,OpStrzel239,,Strzelce manualna 239,,2000-01-01,2004-12-31,tło,miejski,w budynku,OPOLSKIE,Strzelce Opolskie,ul. Krakowska 19,50.509444,18.303611
672,OpStrzel247,PL0408A,Strzelce manualna 247,,2005-01-01,2009-12-31,tło,miejski,w budynku,OPOLSKIE,Strzelce Opolskie,ul. Piłsudskiego 20,50.513889,18.303892
673,OpStrzOpWyszMOB,PL0767A,"Strzelce Opolskie, ul. Kard. Wyszyńskiego",OpStrzOpWysz,2024-01-05,,tło,miejski,mobilna,OPOLSKIE,Strzelce Opolskie,ul. Kardynała Wyszyńskiego 12,50.509334,18.288206
674,OpZdze12392,PL0409A,Zdzieszowice lokalna 12392,,1990-11-27,2008-12-31,tło,miejski,kontenerowa stacjonarna,OPOLSKIE,Zdzieszowice,ul. Sienkiewicza,50.435278,18.132514
675,OpZdziePiast,PL0222A,"Zdzieszowice, ul. Piastów",OpZdze2a,2005-01-01,,tło,miejski,kontenerowa stacjonarna,OPOLSKIE,Zdzieszowice,ul. Piastów 6,50.423533,18.120739
676,PdAugSzpitalna,,Augustów ul.Szpitalna 12,,1994-01-01,2002-12-31,tło,miejski,w budynku,PODLASKIE,Augustów,ul. Szpitalna 12,53.851342,22.993628
677,PdAugustowUz,PL0768A,"Augustów, Uzdrowisko",PdAugustowUm,2020-01-01,,tło,miejski,kontenerowa stacjonarna,PODLASKIE,Augustów,Uzdrowisko,53.852550,22.984686
678,PdAugustoZdrMOB,PL0675A,Augustów - mobilne,,2017-01-01,2019-12-31,tło,miejski,mobilna,PODLASKIE,Augustów,ul. Zdrojowa,53.859528,23.000750
679,PdBialAlPils,PL0769A,"Białystok, al.Piłsudskiego",,2022-03-28,,komunikacyjna,miejski,kontenerowa stacjonarna,PODLASKIE,Białystok,al. Józefa Piłsudskiego 34,53.135286,23.161325
680,PdBialPPiech,PL0709A,"Białystok, ul. 42 Pułku Piechoty",,2022-08-22,,tło,podmiejski,kontenerowa stacjonarna,PODLASKIE,Białystok,ul. 42 Pułku Piechoty 117,53.144122,23.216322
681,PdBialPulPie,PL0149A,Białystok-Podmiejska,PdBialyPodmiejska,2004-09-01,2017-12-21,tło,podmiejski,kontenerowa stacjonarna,PODLASKIE,Białystok,ul. 42 Pułku Piechoty,53.138614,23.229903
682,PdBialWarsza,PL0496A,"Białystok, ul. Warszawska",PdBialyWarszawska,2010-01-01,,tło,miejski,kontenerowa stacjonarna,PODLASKIE,Białystok,ul. Warszawska 75 A,53.129306,23.181744
683,PdBialWaszyn,PL0148A,"Białystok, ul. Waszyngtona",PdBialyMiejska,2004-09-01,2023-11-13,tło,miejski,kontenerowa stacjonarna,PODLASKIE,Białystok,ul. Waszyngtona 16,53.126689,23.155869
684,PdBialyBroniewsk,,Bialystok ul. Broniewskiego 1,,1994-01-01,2002-12-31,tło,miejski,w budynku,PODLASKIE,Białystok,ul. Broniewskiego 1,53.140469,23.134272
685,PdBialyLegionowa,,Białystok ul Legionowa 8,,1998-01-01,2003-12-31,tło,miejski,w budynku,PODLASKIE,Białystok,ul. Legionowa 8,53.130933,23.159853
686,PdBialyLegionowa8,PL0147A,BIAŁYSTOK LEGIONOWA 8 POSESJA,,2003-11-01,2009-12-31,tło,miejski,kontenerowa stacjonarna,PODLASKIE,Białystok,ul. Legionowa 8,53.131111,23.158889
687,PdBialyPorzeczkowa,,Białystok ul Porzeczkowa 11,,1994-01-01,2002-12-31,tło,miejski,w budynku,PODLASKIE,Białystok,ul. Porzeczkowa 11,53.151186,23.119169
688,PdBialyWarszaw,,Białystok ul. Warszawska 57 A,,1983-01-01,2002-12-31,tło,miejski,w budynku,PODLASKIE,Białystok,ul. Warszawska 57 A,53.131078,23.174142
689,PdBiePodKosciuszki,,Bielsk Podlaski ul Kościuszki 16,,1994-01-01,2002-12-31,tło,miejski,w budynku,PODLASKIE,Bielsk Podlaski,ul. Kościuszki 16,52.769472,23.187025
690,PdBorsukowiz,PL0150A,"Borsukowizna, Szkółka Leśna",PdBorsuWiejska,2004-09-01,,tło,pozamiejski,kontenerowa stacjonarna,PODLASKIE,Borsukowizna,,53.215492,23.642153
691,PdGrajewKonsty3M,,Grajewo ul Konstytucji 3 Maja 3,,1995-01-02,2002-12-31,tło,miejski,w budynku,PODLASKIE,Grajewo,ul. Konstytucji 3 Maja 3,53.643994,22.461244
692,PdGrajewoWPoMOB,PL0721A,"Grajewo, ul. Wojska Polskiego",,2019-12-30,,tło,miejski,mobilna,PODLASKIE,Grajewo,ul. Wojska Polskiego 74,53.639793,22.470274
693,PdGrajNowickiego,,Grajewo - lab. mobilne,,2005-01-01,2005-12-31,tło,miejski,mobilna,PODLASKIE,Grajewo,ul. T. Nowickiego,53.648508,22.450900
694,PdHajnowkJagMOB,PL0651A,Hajnówka-mobilne,,2015-01-01,2016-12-31,tło,miejski,mobilna,PODLASKIE,Hajnówka,ul. Władysława Jagiełły,52.739528,23.586139
