Nr,Kod stacji,Kod międzynarodowy,Nazwa stacji,"Stary Kod stacji (o ile inny od aktualnego)",Data uruchomienia,Data zamknięcia,Typ stacji,Typ obszaru,Rodzaj stacji,Województwo,Miejscowość,Adres,WGS84 φ N,WGS84 λ E
996,WmOstrChrobr,PL0176A,WIOŚ Ostróda ul. Chrobrego,WmOstrodWIOS_Chrobre,2004-06-01,2016-12-31,tło,miejski,kontenerowa stacjonarna,WARMIŃSKO-MAZURSKIE,Ostróda,ul. Chrobrego 3,53.692469,19.969778
997,WmOstrodWSSE_Czarnec,PL0462A,Ostroda-PSSE-Czarneckiego,,2003-01-03,2009-12-31,tło,miejski,w budynku,WARMIŃSKO-MAZURSKIE,Ostróda,ul. Czarneckiego,53.696111,19.963333
998,WmOstrPilsud,PL0682A,"Ostróda, ul. Piłsudskiego",,2017-01-01,,tło,miejski,kontenerowa stacjonarna,WARMIŃSKO-MAZURSKIE,Ostróda,Piłsudskiego 4,53.694587,19.969041
999,WmPuszczaBor,PL0005R,"Diabla Góra, Puszcza Borecka",WmPuszcz_IOS_Borecka,1994-01-01,,tło,pozamiejski,rozproszona,WARMIŃSKO-MAZURSKIE,Diabla Góra,Diabla Góra,54.124819,22.038056
1000,WmSzczPolskMOB,PL0834A,"Szczytno, ul. Polska",,2022-01-01,2022-12-31,tło,miejski,mobilna,WARMIŃSKO-MAZURSKIE,Szczytno,ul. Polska 38,53.559723,21.001916
1001,WmSzczytWSSE_Sklodow,PL0463A,Szczytno-PSSE-Skłodowskiej,,2003-01-03,2009-12-31,tło,miejski,w budynku,WARMIŃSKO-MAZURSKIE,Szczytno,ul. Curie Skłodowskiej,53.565278,20.988889
1002,WpBoroDrapal,PL0573A,"Borówiec, ul. Drapałka",WpWKP011/10,2011-01-01,,tło,pozamiejski,kontenerowa stacjonarna,WIELKOPOLSKIE,Borówiec,ul. Drapałka 4,52.276720,17.074187
1003,WpChodziez57196,,Chodzież ul. Reymonta 12,,2003-01-01,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Chodzież,ul. Reymonta 12,-999,-999
1004,WpGniePaczko,PL0569A,"Gniezno, ul. Paczkowskiego",WpGnieznoPM10/11,2011-01-01,,tło,miejski,wolnostojący pobornik pyłu,WIELKOPOLSKIE,Gniezno,ul. Paczkowskiego 13,52.539283,17.612239
1005,WpGniezno63302,,"Gniezno, ul. Jana Pawła II 2",,2003-01-01,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Gniezno,ul. Jana Pawła II 2,-999,-999
1006,WpGnieznoPM10,PL0177A,"Gniezno, ul Jana Pawła II 2PM10",,2004-04-01,2011-05-31,tło,miejski,BRAK DANYCH,WIELKOPOLSKIE,Gniezno,ul. Jana Pawła II 2,52.536111,17.605278
1007,WpGostyn41153,,"Gostyń, ul. K. Marcinkowskiego 8/9",,2003-04-22,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Gostyń,ul. K. Marcinkowskiego 8/9,-999,-999
1008,WpJarocin25218,,"Jarocin, ul. Wąska 2",,2003-04-14,2004-12-31,tło,miejski,w budynku,WIELKOPOLSKIE,Jarocin,ul. Wąska 2,-999,-999
